Nr,exercise,question,answer,german,english,french,connector,explanation_english_,explanation_french_,indication_english_,indication_french_,verb,verb_english,verb_french,indication_english,indication_french,connector_english,connector_french,explanation_english,explanation_french
625,32,,Er ist so spät angekommen wie sein Freund.,Er ist so spät angekommen wie sein Freund.,He arrived as late as his friend.,Il est arrivé aussi tard que son ami.,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition",,,,,,,,,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition"
626,32,,Ich rufe dich so oft an wie meine Mutter.,Ich rufe dich so oft an wie meine Mutter.,I call you as often as my mother.,Je t’appelle aussi souvent que ma mère.,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition",,,,,,,,,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition"
627,32,,Sie kann sich so gut konzentrieren wie ihr Lehrer.,Sie kann sich so gut konzentrieren wie ihr Lehrer.,She can concentrate as well as her teacher.,Elle peut se concentrer aussi bien que son professeur.,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition",,,,,,,,,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition"
628,32,,Ihr habt euch so schnell angemeldet wie wir.,Ihr habt euch so schnell angemeldet wie wir.,You registered as quickly as we did.,Vous vous êtes inscrits aussi vite que nous.,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition",,,,,,,,,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition"
629,32,,Du siehst so lange fern wie dein Bruder.,Du siehst so lange fern wie dein Bruder.,You watch TV as long as your brother.,Tu regardes la télévision aussi longtemps que ton frère.,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition",,,,,,,,,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition"
630,32,,Wir haben uns so früh getroffen wie geplant.,Wir haben uns so früh getroffen wie geplant.,We met as early as planned.,Nous nous sommes rencontrés aussi tôt que prévu.,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition",,,,,,,,,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition"
631,32,,Ich kann schneller laufen als mein Bruder.,Ich kann schneller laufen als mein Bruder.,I can run faster than my brother.,Je peux courir plus vite que mon frère.,,"Rule: in a comparison, <i>als</i> goes between the adjective and the reference. If the reference is compared to an entire clause, <i>als</i> goes after that clause.","Règle : dans une comparaison, <i>als</i> se place entre l'adjectif et le comparant. Si le comparant est comparé à une proposition entière, <i>als</i> se place après cette proposition.",,,,,,,,,,"Rule: in a comparison, <i>als</i> goes between the adjective and the reference. If the reference is compared to an entire clause, <i>als</i> goes after that clause.","Règle : dans une comparaison, <i>als</i> se place entre l'adjectif et le comparant. Si le comparant est comparé à une proposition entière, <i>als</i> se place après cette proposition."
632,32,,Sie hat mehr gearbeitet als ihr Kollege.,Sie hat mehr gearbeitet als ihr Kollege.,She worked more than her colleague.,Elle a plus travaillé que son collègue.,,"Rule: in a comparison, <i>als</i> goes between the adjective and the reference. If the reference is compared to an entire clause, <i>als</i> goes after that clause.","Règle : dans une comparaison, <i>als</i> se place entre l'adjectif et le comparant. Si le comparant est comparé à une proposition entière, <i>als</i> se place après cette proposition.",,,,,,,,,,"Rule: in a comparison, <i>als</i> goes between the adjective and the reference. If the reference is compared to an entire clause, <i>als</i> goes after that clause.","Règle : dans une comparaison, <i>als</i> se place entre l'adjectif et le comparant. Si le comparant est comparé à une proposition entière, <i>als</i> se place après cette proposition."
633,32,,Du stehst früher auf als deine Schwester.,Du stehst früher auf als deine Schwester.,You get up earlier than your sister.,Tu te lèves plus tôt que ta sœur.,,"Rule: in a comparison, <i>als</i> goes between the adjective and the reference. If the reference is compared to an entire clause, <i>als</i> goes after that clause.","Règle : dans une comparaison, <i>als</i> se place entre l'adjectif et le comparant. Si le comparant est comparé à une proposition entière, <i>als</i> se place après cette proposition.",,,,,,,,,,"Rule: in a comparison, <i>als</i> goes between the adjective and the reference. If the reference is compared to an entire clause, <i>als</i> goes after that clause.","Règle : dans une comparaison, <i>als</i> se place entre l'adjectif et le comparant. Si le comparant est comparé à une proposition entière, <i>als</i> se place après cette proposition."
634,32,,Wir können besser kochen als unsere Eltern.,Wir können besser kochen als unsere Eltern.,We can cook better than our parents.,Nous pouvons cuisiner mieux que nos parents.,,"Rule: in a comparison, <i>als</i> goes between the adjective and the reference. If the reference is compared to an entire clause, <i>als</i> goes after that clause.","Règle : dans une comparaison, <i>als</i> se place entre l'adjectif et le comparant. Si le comparant est comparé à une proposition entière, <i>als</i> se place après cette proposition.",,,,,,,,,,"Rule: in a comparison, <i>als</i> goes between the adjective and the reference. If the reference is compared to an entire clause, <i>als</i> goes after that clause.","Règle : dans une comparaison, <i>als</i> se place entre l'adjectif et le comparant. Si le comparant est comparé à une proposition entière, <i>als</i> se place après cette proposition."
635,32,,Er ist später angekommen als sein Freund.,Er ist später angekommen als sein Freund.,He arrived later than his friend.,Il est arrivé plus tard que son ami.,,"Rule: in a comparison, <i>als</i> goes between the adjective and the reference. If the reference is compared to an entire clause, <i>als</i> goes after that clause.","Règle : dans une comparaison, <i>als</i> se place entre l'adjectif et le comparant. Si le comparant est comparé à une proposition entière, <i>als</i> se place après cette proposition.",,,,,,,,,,"Rule: in a comparison, <i>als</i> goes between the adjective and the reference. If the reference is compared to an entire clause, <i>als</i> goes after that clause.","Règle : dans une comparaison, <i>als</i> se place entre l'adjectif et le comparant. Si le comparant est comparé à une proposition entière, <i>als</i> se place après cette proposition."
