Nr,exercise,level,level_routledge,level_goethe,question,answer,german,english,french,plural,explanation_plural_english,explanation_plural_french,explanation_english_,explanation_french_,explanation_english,explanation_french
79,4,A1,A1,A1,_____ Satz,der,der Satz,the sentence,la phrase,die Sätze,<br><br>Plural: die Sätze,<br><br>Pluriel: die Sätze,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Sätze<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Sätze<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
80,4,A1,A1,A1,_____ Angebot,das,das Angebot,the offer,l'offre,die Angebote,<br><br>Plural: die Angebote,<br><br>Pluriel: die Angebote,,,<br><br>Plural: die Angebote,<br><br>Pluriel: die Angebote
81,5,A1,A1,A1,_____ Internet,das,das Internet,the internet,internet,,​,​,Words coming from the English language are usually Neuter,Les noms communs venant de la langue anglaise sont souvent Neutres,​<br><br>Words coming from the English language are usually Neuter,​<br><br>Les noms communs venant de la langue anglaise sont souvent Neutres
82,5,A1,A1,A1,_____ Zimmer,das,das Zimmer,the room,la chambre,die Zimmer,<br><br>Plural: die Zimmer,<br><br>Pluriel: die Zimmer,,,<br><br>Plural: die Zimmer,<br><br>Pluriel: die Zimmer
83,5,A1,A1,A1,_____ Chef,der,der Chef,the boss,le patron,die Chefs,<br><br>Plural: die Chefs,<br><br>Pluriel: die Chefs,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Chefs<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Chefs<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
84,5,A1,A1,A1,_____ Zug,der,der Zug,the train,le train,die Züge,<br><br>Plural: die Züge,<br><br>Pluriel: die Züge,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Züge<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Züge<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
85,5,A1,A1,A1,_____ Arzt,der,der Arzt,the doctor,le médecin,die Ärzte,<br><br>Plural: die Ärzte,<br><br>Pluriel: die Ärzte,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Ärzte<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Ärzte<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
86,5,A1,A1,A1,_____ Fuß,der,der Fuß,the foot,le pied,die Füße,<br><br>Plural: die Füße,<br><br>Pluriel: die Füße,,,<br><br>Plural: die Füße,<br><br>Pluriel: die Füße
87,5,A1,A1,A1,_____ Klasse,die,die Klasse,the class,la classe,die Klassen,<br><br>Plural: die Klassen,<br><br>Pluriel: die Klassen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Klassen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Klassen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
88,5,A1,A1,A1,_____ Lösung,die,die Lösung,the solution,la solution,die Lösungen,<br><br>Plural: die Lösungen,<br><br>Pluriel: die Lösungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Lösungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Lösungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
89,5,A1,A1,A1,_____ Junge,der,der Junge,the boy,le garçon,die Jungen,<br><br>Plural: die Jungen,<br><br>Pluriel: die Jungen,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Jungen<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Jungen<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
90,5,A1,A1,A1,_____ Studium,das,das Studium,the study,l'étude,die Studien,<br><br>Plural: die Studien,<br><br>Pluriel: die Studien,Words finishing in <i>-um</i> are generally Neuter,Les noms communs se terminant par <i>-um</i> sont généralement Neutres,<br><br>Plural: die Studien<br><br>Words finishing in <i>-um</i> are generally Neuter,<br><br>Pluriel: die Studien<br><br>Les noms communs se terminant par <i>-um</i> sont généralement Neutres
91,5,A1,A1,A1,_____ Bett,das,das Bett,the bed,le lit,die Betten,<br><br>Plural: die Betten,<br><br>Pluriel: die Betten,,,<br><br>Plural: die Betten,<br><br>Pluriel: die Betten
92,5,A1,A1,A1,_____ Kunde,der,der Kunde,the customer,le client,die Kunden,<br><br>Plural: die Kunden,<br><br>Pluriel: die Kunden,,,<br><br>Plural: die Kunden,<br><br>Pluriel: die Kunden
93,5,A1,A1,A1,_____ Geschäft,das,das Geschäft,the business,l'entreprise,die Geschäfte,<br><br>Plural: die Geschäfte,<br><br>Pluriel: die Geschäfte,Words beginning in <i>Ge-</i> are usually Neuter,Les noms communs commençant par <i>Ge-</i> sont généralement Neutres,<br><br>Plural: die Geschäfte<br><br>Words beginning in <i>Ge-</i> are usually Neuter,<br><br>Pluriel: die Geschäfte<br><br>Les noms communs commençant par <i>Ge-</i> sont généralement Neutres
94,5,A1,A1,A1,_____ Gast,der,der Gast,the guest,l'invité,die Gäste,<br><br>Plural: die Gäste,<br><br>Pluriel: die Gäste,,,<br><br>Plural: die Gäste,<br><br>Pluriel: die Gäste
95,5,A1,A1,A1,_____ Dank,der,der Dank,the thanks,le remerciement,,​,​,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,​<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,​<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
96,5,A1,A1,A1,_____ Dorf,das,das Dorf,the village,le village,die Dörfer,<br><br>Plural: die Dörfer,<br><br>Pluriel: die Dörfer,,,<br><br>Plural: die Dörfer,<br><br>Pluriel: die Dörfer
97,5,A1,A1,A1,_____ Kollege,der,der Kollege,the colleague,le collègue,die Kollegen,<br><br>Plural: die Kollegen,<br><br>Pluriel: die Kollegen,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Kollegen<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Kollegen<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
98,5,A1,A1,A1,_____ Bruder,der,der Bruder,the brother,le frère,die Brüder,<br><br>Plural: die Brüder,<br><br>Pluriel: die Brüder,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Brüder<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Brüder<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
99,5,A1,A1,A1,_____ Sommer,der,der Sommer,the summer,l'été,die Sommer,<br><br>Plural: die Sommer,<br><br>Pluriel: die Sommer,Seasons are Masculine,Les saisons sont Masculines,<br><br>Plural: die Sommer<br><br>Seasons are Masculine,<br><br>Pluriel: die Sommer<br><br>Les saisons sont Masculines
100,5,A1,A1,A1,_____ Antwort,die,die Antwort,the answer,la réponse,die Antworten,<br><br>Plural: die Antworten,<br><br>Pluriel: die Antworten,Words formed from verb stems that end in <i>-t</i> are usually Feminine,Les noms communs formés à partir de racines verbales se terminant par <i>-t</i> sont généralement Féminins,<br><br>Plural: die Antworten<br><br>Words formed from verb stems that end in <i>-t</i> are usually Feminine,<br><br>Pluriel: die Antworten<br><br>Les noms communs formés à partir de racines verbales se terminant par <i>-t</i> sont généralement Féminins
101,6,A1,A1,A1,_____ Alter,das,das Alter,the age,l'âge,die Alter,<br><br>Plural: die Alter,<br><br>Pluriel: die Alter,,,<br><br>Plural: die Alter,<br><br>Pluriel: die Alter
102,6,A1,A1,A1,_____ Polizei,die,die Polizei,the police,la police,die Polizeien,<br><br>Plural: die Polizeien,<br><br>Pluriel: die Polizeien,Words finishing in <i>-ei</i> are Feminine,Les noms communs se terminant par <i>-ei</i> sont Féminins,<br><br>Plural: die Polizeien<br><br>Words finishing in <i>-ei</i> are Feminine,<br><br>Pluriel: die Polizeien<br><br>Les noms communs se terminant par <i>-ei</i> sont Féminins
103,6,A1,A1,A1,_____ Kilometer,der,der Kilometer,the kilometer,le kilomètre,die Kilometer,<br><br>Plural: die Kilometer,<br><br>Pluriel: die Kilometer,,,<br><br>Plural: die Kilometer,<br><br>Pluriel: die Kilometer
104,6,A1,A1,A1,_____ Hilfe,die,die Hilfe,the help,l'aide,die Hilfen,<br><br>Plural: die Hilfen,<br><br>Pluriel: die Hilfen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Hilfen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Hilfen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
105,6,A1,A1,A1,_____ Computer,der,der Computer,the computer,l'ordinateur,die Computer,<br><br>Plural: die Computer,<br><br>Pluriel: die Computer,Appliances are usually Masculine,Les appareils électroménagers sont généralement Masculins,<br><br>Plural: die Computer<br><br>Appliances are usually Masculine,<br><br>Pluriel: die Computer<br><br>Les appareils électroménagers sont généralement Masculins
106,6,A1,A1,A1,_____ Mitte,die,die Mitte,the middle,le milieu,die Mitten,<br><br>Plural: die Mitten,<br><br>Pluriel: die Mitten,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Mitten<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Mitten<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
107,6,A1,A1,A1,_____ Ordnung,die,die Ordnung,the order,l'ordre,die Ordnungen,<br><br>Plural: die Ordnungen,<br><br>Pluriel: die Ordnungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Ordnungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Ordnungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
108,6,A1,A1,A1,_____ Glück,das,das Glück,the happiness,le bonheur,,​,​,,,​,​
109,6,A1,A1,A1,_____ Wochenende,das,das Wochenende,the weekend,le week-end,die Wochenenden,<br><br>Plural: die Wochenenden,<br><br>Pluriel: die Wochenenden,,,<br><br>Plural: die Wochenenden,<br><br>Pluriel: die Wochenenden
110,6,A1,A1,A1,_____ Westen,der,der Westen,the West,l'Ouest,,​,​,Cardinal directions are Masculine,Les points cardinaux sont Masculins,​<br><br>Cardinal directions are Masculine,​<br><br>Les points cardinaux sont Masculins
111,6,A1,A1,A1,_____ Osten,der,der Osten,the East,l'Est,,​,​,Cardinal directions are Masculine,Les points cardinaux sont Masculins,​<br><br>Cardinal directions are Masculine,​<br><br>Les points cardinaux sont Masculins
112,6,A1,A1,A1,_____ Schwester,die,die Schwester,the sister,la sœur,die Schwestern,<br><br>Plural: die Schwestern,<br><br>Pluriel: die Schwestern,"Words designating Women, including through professions and nationalities, are Feminine","Les mots désignant les Femmes, notamment par le biais des professions et des nationalités, sont Féminins","<br><br>Plural: die Schwestern<br><br>Words designating Women, including through professions and nationalities, are Feminine","<br><br>Pluriel: die Schwestern<br><br>Les mots désignant les Femmes, notamment par le biais des professions et des nationalités, sont Féminins"
113,6,A1,A1,A1,_____ Reise,die,die Reise,the trip,le voyage,die Reisen,<br><br>Plural: die Reisen,<br><br>Pluriel: die Reisen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Reisen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Reisen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
114,6,A1,A1,A1,_____ Haar,das,das Haar,the hair,les cheveux,die Haare,<br><br>Plural: die Haare,<br><br>Pluriel: die Haare,,,<br><br>Plural: die Haare,<br><br>Pluriel: die Haare
115,6,A1,A1,A1,_____ Brief,der,der Brief,the letter,la lettre,die Briefe,<br><br>Plural: die Briefe,<br><br>Pluriel: die Briefe,,,<br><br>Plural: die Briefe,<br><br>Pluriel: die Briefe
116,6,A1,A1,A1,_____ Größe,die,die Größe,the size,la taille,die Größen,<br><br>Plural: die Größen,<br><br>Pluriel: die Größen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Größen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Größen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
117,6,A1,A1,A1,_____ Sport,der,der Sport,the sport,le sport,die Sporte,<br><br>Plural: die Sporte,<br><br>Pluriel: die Sporte,,,<br><br>Plural: die Sporte,<br><br>Pluriel: die Sporte
118,6,A1,A1,A1,_____ Mund,der,der Mund,the mouth,la bouche,die Münder,<br><br>Plural: die Münder,<br><br>Pluriel: die Münder,,,<br><br>Plural: die Münder,<br><br>Pluriel: die Münder
119,6,A1,A1,A1,_____ Aussage,die,die Aussage,the statement,la déclaration,die Aussagen,<br><br>Plural: die Aussagen,<br><br>Pluriel: die Aussagen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Aussagen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Aussagen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
120,6,A1,A1,A1,_____ Farbe,die,die Farbe,the color,la couleur,die Farben,<br><br>Plural: die Farben,<br><br>Pluriel: die Farben,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Farben<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Farben<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
121,7,A1,A1,A1,_____ Bein,das,das Bein,the leg,la jambe,die Beine,<br><br>Plural: die Beine,<br><br>Pluriel: die Beine,,,<br><br>Plural: die Beine,<br><br>Pluriel: die Beine
