Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french,verb_german,verb_english,verb_french,explanation_english_article,explanation_french_article,valency_english,valency_french,explanation_english_valency,explanation_french_valency,explanation_english_verb,explanation_french_verb,explanation_english,explanation_french
38,2,Die Lehrerin erklärt den Schülern _____ Aufgabe.,die,Die Lehrerin erklärt den Schülern die Aufgabe.,The teacher explains the task to the students.,La professeure explique l’exercice aux élèves.,der/die/das,Accusative,Accusatif,Feminine,Féminin,erklären,"to explain, to declare, to assert","expliquer, déclarer, affirmer","der/die/das, Feminine, Accusative → die","der/die/das, Féminin, Accusatif → die",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),erklären → Accusative + Dative (Ditransitive),erklären → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Feminine, Accusative → die<br><br>erklären → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>erklären = to explain, to declare, to assert","der/die/das, Féminin, Accusatif → die<br><br>erklären → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>erklären = expliquer, déclarer, affirmer"
39,3,Er gibt seiner Schwester _____ Geschenk.,ein,Er gibt seiner Schwester ein Geschenk.,He gives his sister a gift.,Il donne un cadeau à sa sœur.,ein,Accusative,Accusatif,Neuter,Neutre,geben,to give,donner,"ein, Neuter, Accusative → ein","ein, Neutre, Accusatif → ein",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),geben → Accusative + Dative (Ditransitive),geben → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"ein, Neuter, Accusative → ein<br><br>geben → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>geben = to give","ein, Neutre, Accusatif → ein<br><br>geben → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>geben = donner"
40,1,Ich sage dir _____ Wahrheit.,die,Ich sage dir die Wahrheit.,I tell you the truth.,Je te dis la vérité.,der/die/das,Accusative,Accusatif,Feminine,Féminin,sagen,"to say, to tell","dire, raconter","der/die/das, Feminine, Accusative → die","der/die/das, Féminin, Accusatif → die",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),sagen → Accusative + Dative (Ditransitive),sagen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Feminine, Accusative → die<br><br>sagen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>sagen = to say, to tell","der/die/das, Féminin, Accusatif → die<br><br>sagen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>sagen = dire, raconter"
41,2,Sie schreibt ihrem Freund _____ E-Mail.,eine/ein,Sie schreibt ihrem Freund eine E-Mail.,She writes an email to her friend.,Elle écrit un e-mail à son ami.,ein,Accusative,Accusatif,Feminine,Féminin,schreiben,to write,écrire,"ein, Feminine, Accusative → eine/ein","ein, Féminin, Accusatif → eine/ein",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),schreiben → Accusative + Dative (Ditransitive),schreiben → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"ein, Feminine, Accusative → eine/ein<br><br>schreiben → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>schreiben = to write","ein, Féminin, Accusatif → eine/ein<br><br>schreiben → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>schreiben = écrire"
42,3,Wir schicken den Eltern _____ Nachricht.,eine,Wir schicken den Eltern eine Nachricht.,We send a message to the parents.,Nous envoyons un message aux parents.,ein,Accusative,Accusatif,Feminine,Féminin,schicken,to send,envoyer,"ein, Feminine, Accusative → eine","ein, Féminin, Accusatif → eine",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),schicken → Accusative + Dative (Ditransitive),schicken → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"ein, Feminine, Accusative → eine<br><br>schicken → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>schicken = to send","ein, Féminin, Accusatif → eine<br><br>schicken → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>schicken = envoyer"
43,1,Ich zeige dir _____ Foto.,das,Ich zeige dir das Foto.,I show you the photo.,Je te montre la photo.,der/die/das,Accusative,Accusatif,Neuter,Neutre,zeigen,"to show, to point at, to demonstrate","montrer, pointer du doigt, démontrer","der/die/das, Neuter, Accusative → das","der/die/das, Neutre, Accusatif → das",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),zeigen → Accusative + Dative (Ditransitive),zeigen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Neuter, Accusative → das<br><br>zeigen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>zeigen = to show, to point at, to demonstrate","der/die/das, Neutre, Accusatif → das<br><br>zeigen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>zeigen = montrer, pointer du doigt, démontrer"
44,2,Die Firma bietet den Kunden _____ Rabatt.,einen,Die Firma bietet den Kunden einen Rabatt.,The company offers the customers a discount.,L’entreprise offre une réduction aux clients.,ein,Accusative,Accusatif,Masculine,Masculin,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)","ein, Masculine, Accusative → einen","ein, Masculin, Accusatif → einen",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),bieten → Accusative + Dative (Ditransitive),bieten → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"ein, Masculine, Accusative → einen<br><br>bieten → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>bieten = to offer, to bid, to arise, to occur (of an opportunity) (refl.)","ein, Masculin, Accusatif → einen<br><br>bieten → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>bieten = offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)"
45,3,Ich erzähle dir _____ Geschichte.,eine,Ich erzähle dir eine Geschichte.,I tell you a story.,Je te raconte une histoire.,ein,Accusative,Accusatif,Feminine,Féminin,erzählen,"to tell, to narrate","raconter, narrer","ein, Feminine, Accusative → eine","ein, Féminin, Accusatif → eine",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),erzählen → Accusative + Dative (Ditransitive),erzählen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"ein, Feminine, Accusative → eine<br><br>erzählen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>erzählen = to tell, to narrate","ein, Féminin, Accusatif → eine<br><br>erzählen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>erzählen = raconter, narrer"
46,1,Ich besuche _____ Freund am Wochenende.,meinen,Ich besuche meinen Freund am Wochenende.,I visit my friend on the weekend.,Je rends visite à mon ami le week-end.,mein,Accusative,Accusatif,Masculine,Masculin,besuchen,to visit,visiter,"mein, Masculine, Accusative → meinen","mein, Masculin, Accusatif → meinen",Accusative,Accusatif,besuchen → Accusative,besuchen → Accusatif,,,"mein, Masculine, Accusative → meinen<br><br>besuchen → Accusative<br><br>besuchen = to visit","mein, Masculin, Accusatif → meinen<br><br>besuchen → Accusatif<br><br>besuchen = visiter"
47,2,Sie bezahlt _____ Rechnung im Restaurant.,die,Sie bezahlt die Rechnung im Restaurant.,She pays the bill at the restaurant.,Elle paie l’addition au restaurant.,der/die/das,Accusative,Accusatif,Feminine,Féminin,bezahlen,"to pay, to pay someone (transitive)","payer, payer quelqu'un (transitif)","der/die/das, Feminine, Accusative → die","der/die/das, Féminin, Accusatif → die",Accusative,Accusatif,bezahlen → Accusative,bezahlen → Accusatif,,,"der/die/das, Feminine, Accusative → die<br><br>bezahlen → Accusative<br><br>bezahlen = to pay, to pay someone (transitive)","der/die/das, Féminin, Accusatif → die<br><br>bezahlen → Accusatif<br><br>bezahlen = payer, payer quelqu'un (transitif)"
48,3,Wir brauchen _____ neuen Computer.,einen,Wir brauchen einen neuen Computer.,We need a new computer.,Nous avons besoin d’un nouvel ordinateur.,ein,Accusative,Accusatif,Masculine,Masculin,brauchen,to need,avoir besoin,"ein, Masculine, Accusative → einen","ein, Masculin, Accusatif → einen",Accusative,Accusatif,brauchen → Accusative,brauchen → Accusatif,,,"ein, Masculine, Accusative → einen<br><br>brauchen → Accusative<br><br>brauchen = to need","ein, Masculin, Accusatif → einen<br><br>brauchen → Accusatif<br><br>brauchen = avoir besoin"
49,1,Ich esse _____ Apfel.,einen,Ich esse einen Apfel.,I eat an apple.,Je mange une pomme.,ein,Accusative,Accusatif,Masculine,Masculin,essen,to eat,manger,"ein, Masculine, Accusative → einen","ein, Masculin, Accusatif → einen",Accusative,Accusatif,essen → Accusative,essen → Accusatif,,,"ein, Masculine, Accusative → einen<br><br>essen → Accusative<br><br>essen = to eat","ein, Masculin, Accusatif → einen<br><br>essen → Accusatif<br><br>essen = manger"
50,2,Sie findet _____ Schlüssel nicht.,den,Sie findet den Schlüssel nicht.,She does not find the key.,Elle ne trouve pas la clé.,der/die/das,Accusative,Accusatif,Masculine,Masculin,finden,to find,trouver,"der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,finden → Accusative,finden → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>finden → Accusative<br><br>finden = to find","der/die/das, Masculin, Accusatif → den<br><br>finden → Accusatif<br><br>finden = trouver"
51,3,Wir haben _____ Hund.,einen,Wir haben einen Hund.,We have a dog.,Nous avons un chien.,ein,Accusative,Accusatif,Masculine,Masculin,haben,"to have, to contain","avoir, contenir","ein, Masculine, Accusative → einen","ein, Masculin, Accusatif → einen",Accusative,Accusatif,haben → Accusative,haben → Accusatif,,,"ein, Masculine, Accusative → einen<br><br>haben → Accusative<br><br>haben = to have, to contain","ein, Masculin, Accusatif → einen<br><br>haben → Accusatif<br><br>haben = avoir, contenir"
52,1,Ich höre _____ Musik.,die,Ich höre die Musik.,I hear the music.,J’écoute la musique.,der/die/das,Accusative,Accusatif,Feminine,Féminin,hören,"to hear, to listen to","entendre, écouter","der/die/das, Feminine, Accusative → die","der/die/das, Féminin, Accusatif → die",Accusative,Accusatif,hören → Accusative,hören → Accusatif,,,"der/die/das, Feminine, Accusative → die<br><br>hören → Accusative<br><br>hören = to hear, to listen to","der/die/das, Féminin, Accusatif → die<br><br>hören → Accusatif<br><br>hören = entendre, écouter"
53,2,Sie sieht _____ Mann im Park.,den,Sie sieht den Mann im Park.,She sees the man in the park.,Elle voit l’homme dans le parc.,der/die/das,Accusative,Accusatif,Masculine,Masculin,sehen,"to see, to realise","voir, se rendre compte","der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,sehen → Accusative,sehen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>sehen → Accusative<br><br>sehen = to see, to realise","der/die/das, Masculin, Accusatif → den<br><br>sehen → Accusatif<br><br>sehen = voir, se rendre compte"
