Nr,level,question,answer,case,german,english
778,20,Die Temperaturen _____ des Äquators sind im Winter deutlich milder als jenseits davon.,diesseits,,Die Temperaturen diesseits des Äquators sind im Winter deutlich milder als jenseits davon.,The temperatures on this side of the equator are significantly milder in winter than beyond it.
779,20,Das kleine Dorf liegt _____ eines großen Waldes.,inmitten,,Das kleine Dorf liegt inmitten eines großen Waldes.,The small village is located in the middle of a large forest.
780,20,Sie fanden sich plötzlich _____ einer hitzigen Diskussion wieder.,inmitten,,Sie fanden sich plötzlich inmitten einer hitzigen Diskussion wieder.,They suddenly found themselves in the middle of a heated discussion.
781,20,_____ der Stadt gibt es einen wunderschönen Park.,Inmitten,,Inmitten der Stadt gibt es einen wunderschönen Park.,"In the middle of the city, there is a beautiful park."
782,20,Das Schloss steht _____ einer malerischen Landschaft.,inmitten,,Das Schloss steht inmitten einer malerischen Landschaft.,The castle stands amidst a picturesque landscape.
783,20,"Er blieb ruhig, obwohl er sich _____ eines Chaos befand.",inmitten,,"Er blieb ruhig, obwohl er sich inmitten eines Chaos befand.",He remained calm even though he was in the middle of chaos.
784,20,_____ der Berge beginnt eine völlig andere Klimazone.,Jenseits,,Jenseits der Berge beginnt eine völlig andere Klimazone.,"Beyond the mountains, a completely different climate zone begins."
785,20,Die politische Situation _____ des Atlantiks unterscheidet sich stark von der in Europa.,jenseits,,Die politische Situation jenseits des Atlantiks unterscheidet sich stark von der in Europa.,The political situation beyond the Atlantic is very different from that in Europe.
786,20,_____ der Stadtgrenze gelten andere Bauvorschriften und Steuersätze.,Jenseits,,Jenseits der Stadtgrenze gelten andere Bauvorschriften und Steuersätze.,"Beyond the city limits, different building regulations and tax rates apply."
787,20,Die Kultur _____ der Landesgrenzen ist oft überraschend vielfältig.,jenseits,,Die Kultur jenseits der Landesgrenzen ist oft überraschend vielfältig.,The culture beyond the national borders is often surprisingly diverse.
788,20,_____ des Flusses erstreckt sich eine unberührte Naturlandschaft.,Jenseits,,Jenseits des Flusses erstreckt sich eine unberührte Naturlandschaft.,"Beyond the river, an untouched natural landscape stretches out."
789,20,_____ seines Amtes traf der Richter eine endgültige Entscheidung.,Kraft,,Kraft seines Amtes traf der Richter eine endgültige Entscheidung.,"By virtue of his office, the judge made a final decision."
790,20,Der Vertrag wurde _____ gesetzlicher Bestimmungen für ungültig erklärt.,kraft,,Der Vertrag wurde kraft gesetzlicher Bestimmungen für ungültig erklärt.,The contract was declared invalid by virtue of legal regulations.
791,20,_____ ihrer Erfahrung konnte die Managerin das Unternehmen erfolgreich umstrukturieren.,Kraft,,Kraft ihrer Erfahrung konnte die Managerin das Unternehmen erfolgreich umstrukturieren.,"By virtue of her experience, the manager was able to successfully restructure the company."
792,20,_____ seiner Vollmacht unterzeichnete er das Dokument im Namen der Firma.,Kraft,,Kraft seiner Vollmacht unterzeichnete er das Dokument im Namen der Firma.,"By virtue of his authority, he signed the document on behalf of the company."
793,20,_____ internationaler Abkommen sind alle Mitgliedstaaten zur Einhaltung der Regeln verpflichtet.,Kraft,,Kraft internationaler Abkommen sind alle Mitgliedstaaten zur Einhaltung der Regeln verpflichtet.,"By virtue of international agreements, all member states are obligated to comply with the rules."
794,20,_____ den offiziellen Dokumenten müssen Sie auch einen Lebenslauf einreichen.,Nebst,,Nebst den offiziellen Dokumenten müssen Sie auch einen Lebenslauf einreichen.,"Along with the official documents, you must also submit a resume."
795,20,Er brachte _____ einem Geschenk auch Blumen mit.,nebst,,Er brachte nebst einem Geschenk auch Blumen mit.,He brought flowers along with a gift.
796,20,_____ der Miete sind auch die Nebenkosten zu zahlen.,Nebst,,Nebst der Miete sind auch die Nebenkosten zu zahlen.,"Along with the rent, the utility costs must also be paid."
797,20,Sie erhielt eine Beförderung _____ einer Gehaltserhöhung.,nebst,,Sie erhielt eine Beförderung nebst einer Gehaltserhöhung.,She received a promotion along with a salary increase.
798,20,_____ den Gästen aus Deutschland kamen auch Freunde aus Frankreich zur Hochzeit.,Nebst,,Nebst den Gästen aus Deutschland kamen auch Freunde aus Frankreich zur Hochzeit.,"Along with the guests from Germany, friends from France also came to the wedding."
799,20,_____ der Stadt liegt eine alte Burg mit beeindruckender Aussicht.,Oberhalb,,Oberhalb der Stadt liegt eine alte Burg mit beeindruckender Aussicht.,Above the city lies an old castle with an impressive view.
800,20,Die Temperaturen sind _____ von 2.000 Metern deutlich kühler.,oberhalb,,Die Temperaturen sind oberhalb von 2.000 Metern deutlich kühler.,"Temperatures are significantly cooler above 2,000 meters."
801,20,_____ der Wolken konnte man von dem Flugzeug aus die Sonne sehen.,Oberhalb,,Oberhalb der Wolken konnte man von dem Flugzeug aus die Sonne sehen.,"Above the clouds, one could see the sun from the airplane."
802,20,Die Wohngegend _____ des Flusses gilt als besonders exklusiv.,oberhalb,,Die Wohngegend oberhalb des Flusses gilt als besonders exklusiv.,The residential area above the river is considered particularly exclusive.
803,20,_____ der Schmerzgrenze sollte man keine weiteren Gewichte heben.,Oberhalb,,Oberhalb der Schmerzgrenze sollte man keine weiteren Gewichte heben.,"Above the pain threshold, one should not lift any more weights."
804,20,"_____ der Regierung wurde betont, dass weitere Maßnahmen folgen werden.",Seitens,,"Seitens der Regierung wurde betont, dass weitere Maßnahmen folgen werden.","On the part of the government, it was emphasized that further measures will follow."
805,20,Es gab Kritik _____ der Opposition an der neuen Gesetzesvorlage.,seitens,,Es gab Kritik seitens der Opposition an der neuen Gesetzesvorlage.,There was criticism from the opposition regarding the new bill.
806,20,_____ des Unternehmens gab es keine Stellungnahme zu den Vorwürfen.,Seitens,,Seitens des Unternehmens gab es keine Stellungnahme zu den Vorwürfen.,There was no statement from the company regarding the allegations.
807,20,Die Entscheidung wurde _____ des Gerichts mit großer Sorgfalt getroffen.,seitens,,Die Entscheidung wurde seitens des Gerichts mit großer Sorgfalt getroffen.,The decision was made by the court with great care.
808,20,_____ der Eltern gab es viele Beschwerden über das neue Schulsystem.,Seitens,,Seitens der Eltern gab es viele Beschwerden über das neue Schulsystem.,There were many complaints from the parents about the new school system.
809,20,_____ der Burg erstreckt sich ein malerisches Tal.,Unterhalb,,Unterhalb der Burg erstreckt sich ein malerisches Tal.,"Below the castle, a picturesque valley stretches out."
810,20,Die Temperaturen sind _____ von 0 Grad gefährlich für Autofahrer.,unterhalb,,Die Temperaturen sind unterhalb von 0 Grad gefährlich für Autofahrer.,Temperatures below 0 degrees are dangerous for drivers.
811,20,_____ der Stadt gibt es eine große unterirdische Höhle.,Unterhalb,,Unterhalb der Stadt gibt es eine große unterirdische Höhle.,"Below the city, there is a large underground cave."
812,20,Die Wohngegend _____ des Hügels ist besonders beliebt wegen ihrer Nähe zum Fluss.,unterhalb,,Die Wohngegend unterhalb des Hügels ist besonders beliebt wegen ihrer Nähe zum Fluss.,The residential area below the hill is particularly popular due to its proximity to the river.
813,20,_____ der Schmerzgrenze bleibt das Training effektiv und sicher.,Unterhalb,,Unterhalb der Schmerzgrenze bleibt das Training effektiv und sicher.,Staying below the pain threshold keeps training effective and safe.
814,20,Das Gericht entschied _____ des Angeklagten aufgrund fehlender Beweise.,zugunsten,,Das Gericht entschied zugunsten des Angeklagten aufgrund fehlender Beweise.,The court ruled in favor of the defendant due to a lack of evidence.
815,20,_____ der Umwelt wurden strengere Recycling-Vorschriften eingeführt.,Zugunsten,,Zugunsten der Umwelt wurden strengere Recycling-Vorschriften eingeführt.,Stricter recycling regulations were introduced in favor of the environment.
816,20,Die Spendenaktion wurde _____ von hilfsbedürftigen Kindern organisiert.,zugunsten,,Die Spendenaktion wurde zugunsten von hilfsbedürftigen Kindern organisiert.,The fundraising campaign was organized for the benefit of children in need.
817,20,Die Politiker trafen eine Entscheidung _____ der wirtschaftlichen Stabilität.,zugunsten,,Die Politiker trafen eine Entscheidung zugunsten der wirtschaftlichen Stabilität.,The politicians made a decision in favor of economic stability.
818,20,Das neue Gesetz wurde _____ der Arbeitnehmerrechte angepasst.,zugunsten,,Das neue Gesetz wurde zugunsten der Arbeitnehmerrechte angepasst.,The new law was adjusted in favor of workers' rights.
