exercise,question,answer,german,english,french,transitivity_english,transitivity_french
17,,enthalten,enthalten,"to contain, to include","contenir, inclure",,
17,,dienen,dienen,"to serve, to function","servir, fonctionner",,
17,,verschwinden,verschwinden,"to disappear, to get lost","disparaître, se perdre",,
17,,schützen,schützen,"to defend (lawyer), to protect (sunprotection)","défendre (avocat), protéger (protection solaire)",Sometimes Reflexive,Parfois Réfléchi
17,,nennen,nennen,"to name, to call someone something, to mention","nommer, appeler quelqu'un par quelque chose, mentionner",,
17,,schätzen,schätzen,"to appreciate, to evaluate, to guess","apprécier, évaluer",,
17,,erwarten,erwarten,"to expect, to await",s'attendre à,,
17,,behalten,behalten,to keep,garder,,
17,,verpassen,verpassen,"to miss (to be late for something, e.g. a train)","manquer (être en retard pour quelque chose, par exemple un train)",,
17,,schenken,schenken,"to gift, to give as a present","offrir, faire un cadeau",,
17,,wachsen,wachsen,"to grow, to increase","grandir, augmenter",,
17,,springen,springen,"to spring, to jump","sauter, bondir",,
17,,befinden,befinden,"to be located (refl.), to find, to consider (formal)","être localisé (réfl.), trouver, considérer (formel)",Mostly Reflexive,Principalement Réfléchi
18,,fallen,fallen,"to fall, to fall in battle, to collapse","tomber, tomber au combat, s'effondrer",Sometimes Reflexive,Parfois Réfléchi
18,,kümmern,kümmern,"to take care (refl.), to trouble, to concern","prendre soin (réfl.), être troublé par, se préoccuper",Mostly Reflexive,Principalement Réfléchi
18,,drücken,drücken,"to press, to push","appuyer, pousser",Sometimes Reflexive,Parfois Réfléchi
18,,putzen,putzen,"to clean, to rub","nettoyer, frotter",Sometimes Reflexive,Parfois Réfléchi
18,,einkaufen,einkaufen,to shop,"faire les courses, faire du shopping",,
18,,bestimmen,bestimmen,"to determine, to assign, to decide, to ascertain","déterminer, fixer, décider, identifier, assigner",Sometimes Reflexive,Parfois Réfléchi
18,,lösen,lösen,"to loosen, to solve, to separate, to remove","desserrer, résoudre, séparer, enlever",Sometimes Reflexive,Parfois Réfléchi
18,,unterstützen,unterstützen,"to support, to provide help","soutenir, apporter de l'aide",,
18,,treiben,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to","pratiquer (sport), propulser, mettre en avant, pousser (au sens figuré), baiser, flotter, germer, se lever",Sometimes Reflexive,Parfois Réfléchi
18,,tanzen,tanzen,to dance,danser,,
18,,studieren,studieren,"to study, to major in (a subject)","étudier, se spécialiser dans (une matière)",,
18,,schmecken,schmecken,"to taste, to be tasty, to enjoy (with Dat.)","être savoureux, apprécier (avec Dat.)",,
18,,streiten,streiten,"to argue, to fight, to quarrel","se disputer, se battre, se quereller",Sometimes Reflexive,Parfois Réfléchi
18,,entwickeln,entwickeln,"to develop, to evolve, to create","développer, évoluer, créer",Sometimes Reflexive,Parfois Réfléchi
18,,beenden,beenden,"to finish, to end, to complete","finir, terminer, achever",,
18,,wechseln,wechseln,"to change, to switch, to exchange","changer, échanger",Sometimes Reflexive,Parfois Réfléchi
18,,erhalten,erhalten,"to receive, to get, to obtain, to preserve","recevoir, obtenir, acquérir, préserver",,
18,,erlauben,erlauben,"to allow, to permit","permettre, donner l'autorisation",Sometimes Reflexive,Parfois Réfléchi
18,,verdienen,verdienen,"to earn, to deserve","gagner, mériter",,
18,,rufen,rufen,"to call, to shout, to summon","appeler, crier, convoquer",,
19,,fliegen,fliegen,"to fly, to travel by plane","voler, voyager en avion",Sometimes Reflexive,Parfois Réfléchi
19,,testen,testen,"to test, to examine","tester, examiner",,
19,,kontrollieren,kontrollieren,"to control, to check","contrôler, vérifier",,
19,,probieren,probieren,"to try, to taste, to sample, to probe","essayer, goûter, échantillonner, sonder",Sometimes Reflexive,Parfois Réfléchi
19,,kennenlernen,kennenlernen,"to meet someone, to get to know someone","rencontrer quelqu'un, apprendre à connaître quelqu'un",Sometimes Reflexive,Parfois Réfléchi
19,,stehlen,stehlen,to steal,voler,,
19,,ersetzen,ersetzen,"to replace, to substitute, to compensate for","remplacer, substituer, compenser",,
19,,leiden,leiden,"to suffer, to endure, to bear","souffrir, endurer, supporter",,
19,,diskutieren,diskutieren,"to discuss, to debate","discuter, débattre",,
19,,vorschlagen,vorschlagen,"to suggest, to propose","suggérer, proposer",,
19,,teilnehmen,teilnehmen,"to participate, to take part, to partake","participer, prendre part",,
19,,überprüfen,überprüfen,"to check, to examine, to verify","vérifier, examiner",,
19,,beraten,beraten,"to advise, to consult, to discuss","conseiller, consulter, discuter",Sometimes Reflexive,Parfois Réfléchi
19,,bewerben,bewerben,"to apply (for a job, position)","postuler (à un emploi, un poste)",Mostly Reflexive,Principalement Réfléchi
19,,korrigieren,korrigieren,"to correct, to fix, to revise","corriger, réparer, réviser",,
19,,anbieten,anbieten,"to offer, to provide, to propose","offrir, fournir, proposer",Sometimes Reflexive,Parfois Réfléchi
19,,mitnehmen,mitnehmen,"to take along, to take with",emporter,Sometimes Reflexive,Parfois Réfléchi
19,,mitbringen,mitbringen,"to bring along, to bring with",apporter,,
19,,sammeln,sammeln,"to collect, to gather, to accumulate","recueillir, rassembler, accumuler",Sometimes Reflexive,Parfois Réfléchi
19,,aufpassen,aufpassen,"to pay attention, to watch out, to take care","faire attention, prendre soin",,
20,,hassen,hassen,"to hate, to detest","haïr, détester",,
20,,ärgern,ärgern,"to annoy, to irritate, to anger","irriter, mettre en colère",Sometimes Reflexive,Parfois Réfléchi
20,,heben,heben,"to lift, to raise","soulever, élever",,
20,,abholen,abholen,"to pick up, to collect","ramasser, collecter",,
20,,wirken,wirken,"to have an effect, to work","avoir un effet, functionner",,
20,,verletzen,verletzen,"to injure, to hurt, to violate","blesser, faire du mal, être violent",Sometimes Reflexive,Parfois Réfléchi
20,,zustimmen,zustimmen,"to agree, to consent, to approve","être d'accord, consentir, approuver",,
20,,trennen,trennen,"to separate, to divide, to split","séparer, diviser",Sometimes Reflexive,Parfois Réfléchi
20,,greifen,greifen,"to grab, to grasp, to seize","saisir, s'emparer",Sometimes Reflexive,Parfois Réfléchi
20,,entfernen,entfernen,"to remove, to eliminate","supprimer, éliminer",Sometimes Reflexive,Parfois Réfléchi
20,,sich verlieben,sich verlieben,to fall in love,tomber amoureux,Always Reflexive,Toujours Réfléchi
20,,aufräumen,aufräumen,"to tidy up, to clean up, to clear","ranger, nettoyer, débarrasser",,
20,,beschreiben,beschreiben,"to describe, to depict","décrire, représenter",,
20,,verbinden,verbinden,"to connect, to link, to join, to bandage","connecter, lier, joindre, bander",Sometimes Reflexive,Parfois Réfléchi
20,,abhängen,abhängen,"to depend on, to hang out (coll.)","dépendre de, fréquenter (coll.)",Sometimes Reflexive,Parfois Réfléchi
20,,telefonieren,telefonieren,to talk on the phone,parler au téléphone,,
20,,zurückgeben,zurückgeben,"to return, to give back, to answer back","rendre, répondre",,
20,,mitkommen,mitkommen,"to come along, to keep up","venir, suivre",,
20,,rennen,rennen,"to run, to race, to sprint","courir, faire la course, sprinter",Sometimes Reflexive,Parfois Réfléchi
20,,ausruhen,ausruhen,"to rest, to relax","se reposer, se détendre",Mostly Reflexive,Principalement Réfléchi
21,,entspannen,entspannen,"to relax, to unwind","se détendre, se relaxer",Mostly Reflexive,Principalement Réfléchi
21,,verbringen,verbringen,"to spend (time), to pass",passer (du temps),,
21,,vorhaben,vorhaben,"to intend, to plan, to be up to","avoir l'intention de, planifier, être à la hauteur",,
21,,erleben,erleben,"to experience, to live through","expérimenter, vivre",,
21,,malen,malen,"to paint, to draw","peindre, dessiner",,
21,,sich erholen,sich erholen,"to recover, to recuperate","récupérer, se rétablir",Always Reflexive,Toujours Réfléchi
21,,erfahren,erfahren,"to learn, to find out, to experience","apprendre, découvrir, expérimenter",,
21,,besichtigen,besichtigen,"to visit, to tour, to inspect","visiter, faire un tour, inspecter",,
21,,spazieren,spazieren,"to stroll, to walk leisurely","flâner, marcher tranquillement",,
21,,wandern,wandern,"to hike, to wander, to migrate","faire de la randonnée, errer, migrer",,
21,,trainieren,trainieren,"to train, to practice, to coach","entraîner, pratiquer, coacher",Sometimes Reflexive,Parfois Réfléchi
21,,buchen,buchen,"to book, to reserve",réserver,,
21,,überraschen,überraschen,to surprise,surprendre,Sometimes Reflexive,Parfois Réfléchi
21,,verbieten,verbieten,"to forbid, to prohibit","interdire, prohiber",,
21,,unterschreiben,unterschreiben,"to sign, to subscribe, to unterwrite","signer, souscrire",,
21,,empfangen,empfangen,"to receive, to welcome, to greet","recevoir, accueillir, saluer",,
21,,bestellen,bestellen,"to order, to reserve","commander, réserver",,
21,,liefern,liefern,"to deliver, to supply","livrer, approvisionner",,
21,,vertrauen,vertrauen,to trust,faire confiance,,
21,,raten,raten,"to advise, to recommend, to guess","conseiller, recommander, deviner",,
22,,schneiden,schneiden,"to cut, to slice","couper, trancher",Sometimes Reflexive,Parfois Réfléchi
22,,sparen,sparen,"to save, to conserve","sauver, conserver",,
22,,braten,braten,"to fry, to roast, to sauté","frire, rôtir, sauter",,
22,,backen,backen,to bake,cuire (du pain ou des pâtisseries),,
22,,senden,senden,"to send, to broadcast","envoyer, diffuser",,
22,,reservieren,reservieren,"to reserve, to book",réserver,,
22,,aufnehmen,aufnehmen,"to record, to take in, to absorb, to include","enregistrer, assimiler, absorber, inclure",Sometimes Reflexive,Parfois Réfléchi
22,,verbessern,verbessern,"to improve, to enhance, to correct","améliorer, renforcer, corriger",Sometimes Reflexive,Parfois Réfléchi
22,,sichern,sichern,"to secure, to safeguard, to back up","sécuriser, sauvegarder",Sometimes Reflexive,Parfois Réfléchi
22,,beantworten,beantworten,"to answer, to reply to (transitive)","répondre, répliquer à (transitif)",,
22,,beschäftigen,beschäftigen,"to employ, to occupy, to engage","employer, occuper, engager",Mostly Reflexive,Principalement Réfléchi
22,,weinen,weinen,"to cry, to weep","pleurer, sangloter",,
22,,nutzen,nutzen,"to use, to utilize, to benefit from","utiliser, exploiter, bénéficier de",,
22,,besprechen,besprechen,"to discuss, to talk about","discuter, parler de",,
22,,erfinden,erfinden,"to invent, to make up, to fabricate","inventer, fabriquer",,
22,,rechnen,rechnen,"to calculate, to expect, to count on","calculer, s'attendre à, compter sur",Sometimes Reflexive,Parfois Réfléchi
22,,unterrichten,unterrichten,"to teach, to instruct, to inform","enseigner, instruire, informer",,
22,,bestehen,bestehen,"to pass, to exist, to consist, to insist","passer, exister, consister, insister",,
22,,abschließen,abschließen,"to complete, to conclude, to lock","compléter, conclure, verrouiller",Sometimes Reflexive,Parfois Réfléchi
22,,bilden,bilden,"to form, to constitute, to educate","former, constituer, éduquer",Sometimes Reflexive,Parfois Réfléchi
23,,ausbilden,ausbilden,"to train, to educate, to develop","former, éduquer, développer (une compétence)",Sometimes Reflexive,Parfois Réfléchi
23,,herausfinden,herausfinden,"to find out, to discover, to figure out","découvrir, comprendre",,
23,,konzentrieren,konzentrieren,"to concentrate, to focus","se concentrer, se focaliser",Mostly Reflexive,Principalement Réfléchi
23,,küssen,küssen,"to kiss, to make out","embrasser, peloter",Sometimes Reflexive,Parfois Réfléchi
23,,zurückkommen,zurückkommen,"to come back, to return","revenir, retourner",,
23,,zerstören,zerstören,"to destroy, to ruin","détruire, ruiner",,
23,,enden,enden,"to end, to finish, to conclude","terminer, achever, conclure",,
23,,achten,achten,"to respect, to pay attention to, to heed","respecter, prêter attention à",Sometimes Reflexive,Parfois Réfléchi
23,,absagen,absagen,"to cancel, to call off",annuler,,
23,,spüren,spüren,"to feel, to sense, to perceive","sentir, pressentir, percevoir",,
23,,atmen,atmen,to breathe,respirer,,
23,,lächeln,lächeln,to smile,sourire,,
23,,empfinden,empfinden,"to feel, to sense, to perceive","sentir, pressentir, percevoir",,
23,,beobachten,beobachten,"to observe, to watch, to monitor","observer, surveiller",,
23,,riechen,riechen,"to smell, to scent, to sniff, to reek","sentir, flairer, renifler, empester",Sometimes Reflexive,Parfois Réfléchi
23,,schlagen,schlagen,"to hit, to beat, to strike, to defeat","frapper, battre, vaincre",Sometimes Reflexive,Parfois Réfléchi
23,,messen,messen,"to measure, to gauge","mesurer, jauger",Sometimes Reflexive,Parfois Réfléchi
23,,spülen,spülen,"to rinse, to wash, to flush","rincer, laver, tirer la chasse",Sometimes Reflexive,Parfois Réfléchi
23,,lügen,lügen,"to lie, to tell a falsehood","mentir, dire une fausseté",,
23,,schreien,schreien,"to scream, to shout, to yell","crier, hurler",,
24,,informieren,informieren,"to inform, to notify","informer, notifier",Sometimes Reflexive,Parfois Réfléchi
24,,reagieren,reagieren,"to react, to respond","réagir, répondre",,
24,,herunterladen,herunterladen,to download,télécharger,,
24,,berichten,berichten,"to report, to inform, to cover","signaler, informer, couvrir",,
24,,organisieren,organisieren,"to organize, to arrange","organiser, arranger",Sometimes Reflexive,Parfois Réfléchi
24,,begrüßen,begrüßen,"to greet, to welcome","saluer, accueillir",,
24,,umsteigen,umsteigen,"to change, to transfer, to switch","changer, transférer, commuter",,
24,,enttäuschen,enttäuschen,"to disappoint, to let down","décevoir, laisser tomber",Sometimes Reflexive,Parfois Réfléchi
24,,laden,laden,"to load, to charge, to invite","charger, inviter",,
24,,fotografieren,fotografieren,"to take a photo, to photograph","prendre une photo, photographier",,
24,,frühstücken,frühstücken,to have breakfast,prendre le petit déjeuner,,
24,,handeln,handeln,"to act, to deal, to trade, to negotiate","agir, traiter, commercer, négocier",,
24,,leihen,leihen,"to lend, to borrow","prêter, emprunter",Sometimes Reflexive,Parfois Réfléchi
24,,vermeiden,vermeiden,"to avoid, to prevent","éviter, empêcher",,
24,,erhöhen,erhöhen,"to increase, to raise, to enhance","augmenter, élever, rehausser",Sometimes Reflexive,Parfois Réfléchi
24,,fliehen,fliehen,"to flee, to escape, to diverge","fuir, s'échapper, diverger",,
24,,verstecken,verstecken,"to hide, to conceal","cacher, dissimuler",Sometimes Reflexive,Parfois Réfléchi
24,,retten,retten,"to save, to rescue","sauver, secourir",Sometimes Reflexive,Parfois Réfléchi
24,,übernachten,übernachten,"to stay overnight, to spend the night",passer la nuit,,
24,,ausgeben,ausgeben,"to spend, to expend, to issue","dépenser, émettre",Sometimes Reflexive,Parfois Réfléchi
25,,,darstellen,"to depict, to portray, to represent, to illustrate","dépeindre, représenter, illustrer",,
25,,,fangen,to catch,attraper,,
25,,,erreichen,"to reach, to achieve, to attain","atteindre, réaliser, parvenir",,
25,,,genießen,"to savor, to relish, to enjoy, to take pleasure in","apprécier, savourer",,
25,,,gelten,"to apply, to be valid, to count","appliquer, être valide, compter",,
